MT072688_1	2020-01-13
SARS-CoV-2_USA_AZ-ASU2922_2020_EPI_ISL_424668	2020-03-16
_hCoV-19_Australia_VIC-CBA2_2020_EPI_ISL_420876	2020-03-24
_hCoV-19_Senegal_328_2020_EPI_ISL_420071	2020-03-17
_hCoV-19_Slovenia_4584_2020_EPI_ISL_420294	2020-03-06
_hCoV-19_Taiwan_170_2020_EPI_ISL_420084	2020-03-21
_hCoV-19_USA_OSUP0109_2020_EPI_ISL_421660	2020-04-01
hCoV-19_Algeria_G0638_2264_2020_EPI_ISL_418241	2020-03-02
hCoV-19_Algeria_G0640_2265_2020_EPI_ISL_418242	2020-03-08
hCoV-19_Algeria_G0860_2262_2020_EPI_ISL_420037	2020-03-02
hCoV-19_Anhui_SZ005_2020_EPI_ISL_413485	2020-01-24
hCoV-19_Argentina_C121_2020_EPI_ISL_420600	2020-03-07
hCoV-19_Argentina_C1374_2020_EPI_ISL_420599	2020-03-18
hCoV-19_Argentina_C3013_2020_EPI_ISL_420598	2020-03-22
hCoV-19_Australia_NSW01_2020_EPI_ISL_407893	2020-01-24
hCoV-19_Australia_NSW02_2020_EPI_ISL_408976	2020-01-22
hCoV-19_Australia_NSW03_2020_EPI_ISL_408977	2020-01-25
hCoV-19_Australia_NSW04_2020_EPI_ISL_417030	2020-01-24
hCoV-19_Australia_NSW05_2020_EPI_ISL_412975	2020-02-28
hCoV-19_Australia_NSW06_2020_EPI_ISL_413213	2020-02-29
hCoV-19_Australia_NSW07_2020_EPI_ISL_413214	2020-02-29
hCoV-19_Australia_NSW08_2020_EPI_ISL_413594	2020-02-28
hCoV-19_Australia_NSW09_2020_EPI_ISL_413595	2020-02-28
hCoV-19_Australia_NSW10_2020_EPI_ISL_413596	2020-02-28
hCoV-19_Australia_NSW11_2020_EPI_ISL_413597	2020-03-02
hCoV-19_Australia_NSW12_2020_EPI_ISL_413598	2020-03-04
hCoV-19_Australia_NSW13_2020_EPI_ISL_413599	2020-03-04
